	a	b	c	d
0	0.5696725551443842	0.13612118610903656	0.6200942687098039	0.11030867766167307
1	0.6388849946678121	0.37048268373759974	0.033087141494537065	0.8343167060254673
2	0.9578785269917336	0.11355381351446692	0.5889562542515144	0.38109404171372485
3	0.12153346912601093	0.43245501759737137	0.030514994695507114	0.26080763779420113
4	0.25421406193199303	0.002207481015501833	0.23140731901239808	0.3648555910905079
5	0.27943681397919096	0.4498756143153284	0.8672463341597304	0.3492424778132647
6	0.01482418156816434	0.13141586154158313	0.2459824199232663	0.7079313235522098
7	0.940391688432048	0.6093921730647387	0.2711485216887227	0.6131166759553196
8	0.8908019533931482	0.6513040221796239	0.6212099281980181	0.9614364735490784
9	0.9924553531090794	0.24340130091008927	0.25770812424163947	0.44834450853471175
