	a	b	c	d
0	0.6385734509694522	0.6931739236263005	0.47618887314060054	0.9114024864366977
1	0.9779998103385332	0.6614688286372562	0.2788754311295476	0.518666251349227
2	0.12566714739316143	0.742801521698788	0.6916637261297954	0.07738760262053213
3	0.6956637538013932	0.5975803586307222	0.8664157768584424	0.5778529200398363
4	0.011329717261719607	0.1905088515447515	0.17076698592285156	0.6214852069197607
5	0.1111362332546958	0.5035738841065761	0.2678532280251541	0.9713989180304552
6	0.9763145940583927	0.5949368212297007	0.3094690136537189	0.3242723286173126
7	0.07407427112968124	0.04439248661783701	0.49572536412566504	0.9056495888735601
8	0.7870760637469345	0.853932008063533	0.6014558036913755	0.40566240239387874
9	0.7429817138403563	0.4744831268796047	0.7409139587517407	0.5676510167412924
