	a	b	c	d
0	0.7149946451253869	0.37027040569061564	0.7708524850438903	0.1854077079900477
1	0.9497840515886492	0.5545725690159915	0.25921026081146104	0.10320156301164995
2	0.607515763865964	0.5931499756692363	0.7701344316420212	0.726578244065025
3	0.2310672456069941	0.14258000354057354	0.10877097410097103	0.43730812505833927
4	0.6474871936288485	0.8271885552420103	0.7701908628489728	0.11325043339687957
5	0.46365215605637466	0.7527811756794879	0.8090536963289435	0.3060066140828879
6	0.9237562563835219	0.569244806016776	0.8499082407565122	0.7253896675785209
7	0.5589562323272104	0.16389479290624065	0.009371305804807939	0.4289973722989021
8	0.7580745213281287	0.7305688143116281	0.3793372717824147	0.32169011745057097
9	0.9895473851178505	0.7994539085315994	0.19076873410712947	0.08600643077320969
