	a	b	c	d
0	0.26681664491069257	0.48066718445190093	0.36846128089908725	0.9139270743976128
1	0.2975609550005839	0.5622863980908888	0.6296506464831066	0.528569493585611
2	0.1681999116966344	0.1845192851584493	0.4505102855187946	0.5875476976650431
3	0.19528414753771506	0.7023523811519162	0.10650154177453852	0.6288495916425327
4	0.6814742240092798	0.2811773497640525	0.12073568885766484	0.027025957559381752
5	0.5314020474434888	0.45408723504938064	0.34363241821102575	0.14091694203412553
6	0.39287533940890684	0.8127737663921986	0.5013621298606481	0.8969595269412082
7	0.312947919960743	0.8306068909427202	0.13546542060320366	0.20077935495402932
8	0.6272894667156836	0.506945456345166	0.7458565776282389	0.7185682521067389
9	0.9278404029987144	0.5984594714117757	0.8068746566299819	0.1786557509280262
