	a	b	c	d
0	0.670623326106038	0.6470728177015075	0.35100412709425044	0.315974343558057
1	0.3743839541053817	0.3879702400268483	0.026531193184938018	0.2745495446042091
2	0.5233236440558812	0.5796975433705263	0.30231426483833	0.8934290868270544
3	0.7316325391593911	0.04226178303826411	0.39865330055186954	0.5566886456703964
4	0.9138067558330955	0.815282881637109	0.30692195406875644	0.8689849239883064
5	0.44269628429458896	0.6661168116095822	0.86403142385082	0.6201970545379903
6	0.6615729454273136	0.0035573919417588584	0.5183271336994574	0.25650170550194884
7	0.5908830298293424	0.9936236673635972	0.38751928195518304	0.07270969622695655
8	0.8328967312602769	0.3107033186255156	0.8661521805843074	0.8351177341633216
9	0.4759831168128241	0.4025277221473491	0.27232776118653146	0.43778357361128317
