	a	b	c	d
0	0.5665750050808593	0.8138316861822336	0.9980531041848429	0.6588846784990435
1	0.10129732652054091	0.061589954392732515	0.4382573249932783	0.15710069477018362
2	0.7662581717482558	0.3822112610578512	0.005732448034830195	0.022343708302171916
3	0.18159765484129653	0.49725080443329517	0.7413788881833542	0.1333295683746223
4	0.4245173527726893	0.8344203824118723	0.1610309841532881	0.2893783376743939
5	0.9348635122424811	0.21613213023826439	0.3089737499334947	0.4686730186396937
6	0.5564422992448526	0.31160721620698406	0.7737346092531376	0.5752237206181173
7	0.09490777010713358	0.5427203868530838	0.7150345658419305	0.6682245376214149
8	0.14792873192318556	0.8206928188860129	0.06382672681979462	0.8807331409356208
9	0.089354836924043	0.36370116170953537	0.16270759349774144	0.2500634144880548
